书名,详情链接,作者,评分,建平
一个人的村庄,https://book.douban.com/subject/1692648/,刘亮程 ,8.9,['他是真正的作家，也是真正的农民']
规训与惩罚,https://book.douban.com/subject/1012307/,[法] 米歇尔·福柯 ,9.2,['伴随着惩罚的人性化，自由反而日益丧失了']
安娜·卡列尼娜,https://book.douban.com/subject/2253380/,[俄] 列夫·托尔斯泰 ,9.2,[]
过于喧嚣的孤独,https://book.douban.com/subject/6781794/,(捷克) 赫拉巴尔 ,8.8,['我为它而活着，并为写它推迟了我的死亡']
批评官员的尺度,https://book.douban.com/subject/6401128/,[美] 安东尼·刘易斯 ,8.9,['新闻自由史上的里程碑案件：《纽约时报》诉沙利文案']
社会性动物,https://book.douban.com/subject/2328458/,Elliot Aronson ,9.1,['美国社会心理学的《圣经》']
骆驼祥子,https://book.douban.com/subject/1043815/,老舍 ,8.4,['旧中国老北京贫苦市民的典型命运']
了不起的盖茨比,https://book.douban.com/subject/10738023/,[美] 斯科特·菲茨杰拉德 ,8.7,[]
尘埃落定,https://book.douban.com/subject/1080309/,阿来 ,8.5,['一个傻子的土司家族传奇']
心理学与生活,https://book.douban.com/subject/1032501/,[美] 理查德·格里格 ,8.8,['是教科书，也是通俗易懂的好读物']
不存在的骑士,https://book.douban.com/subject/6789551/,[意] 伊塔洛·卡尔维诺 ,8.9,[]
那些回不去的年少时光·终场,https://book.douban.com/subject/4732378/,桐华 ,8.7,['青春的逝去并不可怕，可怕的是失去了勇敢地热爱生活的心']
娱乐至死,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼 ,8.5,['一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸']
纽约客,https://book.douban.com/subject/5337243/,白先勇 ,8.7,[]
长夜难明,https://book.douban.com/subject/26923390/,紫金陈 ,8.5,[]
小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓 ,8.6,['两个女人的史诗']
2001太空漫游,https://book.douban.com/subject/2340609/,[英] 阿瑟·克拉克 ,9.1,['科幻三巨头之一阿瑟·克拉克代表作']
