书名,详情链接,作者,评分,建平
史记（全十册）,https://book.douban.com/subject/1077847/,司马迁 ,9.5,['史家之绝唱，无韵之离骚']
上帝掷骰子吗,https://book.douban.com/subject/1467022/,曹天元 ,9.2,['量子物理史话']
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 ,9.0,['现实主义与浪漫主义的至高杰作']
许三观卖血记,https://book.douban.com/subject/1029791/,余华 ,8.8,['以博大的温情描绘磨难中的人生']
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 ,8.9,['沙漠中寻常的生与死']
卡拉马佐夫兄弟,https://book.douban.com/subject/1856494/,[俄] 费奥多尔·陀思妥耶夫斯基 ,9.4,['错综复杂的社会、家庭矛盾和人性悲剧']
看见,https://book.douban.com/subject/20427187/,柴静 ,8.8,['在这里看见中国']
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 ,9.0,['了解IT领域的入门读物']
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 ,8.8,['唯有希望与爱可以驱散阴霾']
树上的男爵,https://book.douban.com/subject/6789605/,[意大利]伊塔洛·卡尔维诺 ,9.1,['是不是真的只有先与人疏离，才能最终与他们在一起？']
邓小平时代,https://book.douban.com/subject/20424526/,[美] 傅高义 ,9.2,['个人命运背后的历史变局']
台北人,https://book.douban.com/subject/5337248/,白先勇 ,8.9,['白先勇短篇小说集']
诗经,https://book.douban.com/subject/1883245/,孔丘 编订 ,9.4,['思无邪']
人间词话,https://book.douban.com/subject/1203426/,王国维 ,9.0,['以新眼光评旧文学']
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 ,8.7,['真正懂孩子的教育经']
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 ,8.9,['神魔皆有人情，精魅亦通世故']
永恒的终结,https://book.douban.com/subject/25829693/,[美] 艾萨克·阿西莫夫 ,9.0,['关于时间旅行的终极奥秘和恢宏构想']
悉达多,https://book.douban.com/subject/3406401/,[德] 赫尔曼·黑塞 ,9.0,['在那最绝望的一刹那，他突然听到了生命之河永恒的声音……']
我们仨,https://book.douban.com/subject/1023045/,杨绛 ,8.7,['家庭生活回忆录']
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 ,8.8,['王小波与李银河的两地书']
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼 ,9.0,['这个发生在瑞典的故事，如生命庆典般绚丽斑斓']
最好的告别,https://book.douban.com/subject/26576861/,[美] 阿图·葛文德（Atul Gawande） ,9.0,['关于衰老与死亡，你必须知道的常识']
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 ,8.9,['五个家族，一场战争']
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 ,8.8,['平淡叙述下的惊心动魄']
道德经精义,https://book.douban.com/subject/1059258/,黄元吉 ,9.4,['中国历史上首部完整的哲学著作']
呼兰河传,https://book.douban.com/subject/1060852/,萧红 ,8.9,['萧红的童年往事']
你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,[美] 塔拉·韦斯特弗 ,8.9,['我来自一个极少有人能想象的家庭，教育给了我新世界']
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 ,9.0,['“教父三部曲”电影原著']
唐诗三百首,https://book.douban.com/subject/1013267/,蘅塘退士 ,9.4,['熟读唐诗三百首，不会吟诗也会吟']
海子的诗,https://book.douban.com/subject/1011754/,海子 ,8.9,[]
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 ,8.9,['一个淡泊清透的世界']
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 ,8.8,['每一座城市都只在想象中耸立，又在描述中坍圮']
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 ,8.8,['在纷扰中寻出一点闲静']
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 ,8.8,['武侠的解构，流氓的狂欢']
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 ,8.8,['哀而不伤']
人生的枷锁,https://book.douban.com/subject/2035171/,[英] 毛姆 ,9.0,['在混沌纷扰的生活漩流中，寻求人生的真谛']
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 ,8.8,['即使不能拥有完美的生活，所幸追求过完整的自我']
边城,https://book.douban.com/subject/1057244/,沈从文 ,8.7,['一切充满了善，然而到处是不凑巧']
罗杰疑案,https://book.douban.com/subject/1807516/,[英] 阿加莎·克里斯蒂 ,8.9,['阿加莎·克里斯蒂代表作']
叫魂,https://book.douban.com/subject/10471333/,[美] 孔飞力 ,9.0,['1768年中国妖术大恐慌']
鼠疫,https://book.douban.com/subject/24257229/,(法)阿尔贝·加缪 ,9.1,['用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理']
王尔德童话,https://book.douban.com/subject/1119839/,[英] 王尔德 ,9.1,['一颗纯美纯善、永难泯灭的童心']
金色梦乡,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎 ,9.0,['伊坂幸太郎代表作']
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 ,8.8,['探索时间和空间的核心秘密']
冬牧场,https://book.douban.com/subject/10522856/,李娟 ,9.0,['阿勒泰的精灵']
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 ,8.8,['翻手为苍凉，覆手为繁华']
人生的智慧,https://book.douban.com/subject/3261600/,[德] 阿图尔·叔本华 ,9.2,['对世俗、实用问题深刻而透彻的讨论']
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 ,8.7,['暗恋的极致']
美的历程,https://book.douban.com/subject/3410718/,李泽厚 ,9.2,['中国美学经典之作']
野草,https://book.douban.com/subject/1915958/,鲁迅 ,9.4,['我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。']
彷徨,https://book.douban.com/subject/1449348/,鲁迅 ,9.0,['路漫漫其修远兮，吾将上下而求索']
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 ,8.7,['我们现在怎样做母亲']
國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆 ,9.3,['钱穆中国通史']
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 ,8.7,['完美主义者的最高形态']
苏菲的世界,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德 ,8.8,['哲学启蒙书']
孽子,https://book.douban.com/subject/5337254/,白先勇 ,9.1,['写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们']
经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆 ,9.1,['经济学家们的世界观']
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 ,8.8,['谦恭地、勇敢地、真诚地和有纪律地爱他人']
九州·缥缈录,https://book.douban.com/subject/26613061/,江南 ,8.9,['一轴腥风血雨的乱世长卷，中国版《冰与火之歌》']
万水千山走遍,https://book.douban.com/subject/1036490/,三毛 ,8.8,['从遥远的撒哈拉到敦煌戈壁']
我也有一个梦想,https://book.douban.com/subject/1014825/,林达 ,9.0,['在法治国家里，民众怎样运用法律']
昨日的世界,https://book.douban.com/subject/1062343/,[奥] 斯蒂芬·茨威格 ,9.2,['一个高贵而残破的昨日镜像']
浮生六记,https://book.douban.com/subject/1088581/,（清）沈复 ,8.8,['苟不记之笔墨，未免有辜彼苍之厚']
送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜 ,8.6,['在这本书里，被“审视”的东西杂七杂八']
离开的，留下的,https://book.douban.com/subject/27104959/,[意] 埃莱娜·费兰特 ,8.7,['探索中年的虚无、困惑、野心和近乎残暴的爱']
献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,[美] 丹尼尔·凯斯 ,9.1,['当声称能改造智能的科学实验选中心智障碍主角']
绿毛水怪,https://book.douban.com/subject/3518332/,王小波 ,9.0,['我们好象在池塘的水底，从一个月亮走向另一个月亮']
不能承受的生命之轻,https://book.douban.com/subject/4920007/,米兰·昆德拉 ,8.8,[]
倾城之恋,https://book.douban.com/subject/1985223/,张爱玲 ,8.7,['“一对平凡的夫妻”之间的“一点真心”']
情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 ,8.6,['一场同名同姓的误会，两段可贵的爱情']
目送,https://book.douban.com/subject/3995526/,龙应台 ,8.6,['不必追']
野火集,https://book.douban.com/subject/1426971/,龙应台 ,8.8,['中国人，你为什么不生气']
亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 ,8.6,['弭平代沟，跨越文化阻隔']
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 ,8.7,['量子之外，没有真相']
亮剑,https://book.douban.com/subject/1088022/,都梁 ,8.9,['面对强大的对手，明知不敌，也要毅然亮剑']
古文观止,https://book.douban.com/subject/1014561/,吴楚材 ,9.1,['收录自先秦至明末的散文二百二十二篇']
面纱,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆 ,8.7,['揭去生活的面纱']
温柔的夜,https://book.douban.com/subject/2068249/,三毛 ,9.1,['三毛在加纳利群岛的生活']
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 ,8.7,['人类社会的命运']
银河系漫游指南,https://book.douban.com/subject/1394364/,[英] 道格拉斯·亚当斯 ,8.8,['一场穿越银河的冒险']
解忧杂货店,https://book.douban.com/subject/25862578/,[日] 东野圭吾 ,8.5,['现代人内心流失的东西，这家杂货店能帮你找回']
