电影名称,详情链接,颗星,评分,评分人数
音乐之声,https://movie.douban.com/subject/1294408/,rating45-t,9.0,437552人评价
美国往事,https://movie.douban.com/subject/1292262/,rating45-t,9.2,307101人评价
致命魔术,https://movie.douban.com/subject/1780330/,rating45-t,8.9,621382人评价
低俗小说,https://movie.douban.com/subject/1291832/,rating45-t,8.8,611270人评价
七宗罪,https://movie.douban.com/subject/1292223/,rating45-t,8.8,716482人评价
沉默的羔羊,https://movie.douban.com/subject/1293544/,rating45-t,8.8,617982人评价
蝴蝶效应,https://movie.douban.com/subject/1292343/,rating45-t,8.8,682025人评价
禁闭岛,https://movie.douban.com/subject/2334904/,rating45-t,8.8,686436人评价
心灵捕手,https://movie.douban.com/subject/1292656/,rating45-t,8.9,513347人评价
春光乍泄,https://movie.douban.com/subject/1292679/,rating45-t,8.9,460470人评价
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,rating45-t,8.8,647395人评价
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,rating45-t,8.9,548601人评价
阿凡达,https://movie.douban.com/subject/1652587/,rating45-t,8.7,972734人评价
摩登时代,https://movie.douban.com/subject/1294371/,rating45-t,9.3,204618人评价
剪刀手爱德华,https://movie.douban.com/subject/1292370/,rating45-t,8.7,821717人评价
勇敢的心,https://movie.douban.com/subject/1294639/,rating45-t,8.9,451709人评价
喜剧之王,https://movie.douban.com/subject/1302425/,rating45-t,8.7,688814人评价
致命ID,https://movie.douban.com/subject/1297192/,rating45-t,8.8,578548人评价
天使爱美丽,https://movie.douban.com/subject/1292215/,rating45-t,8.7,783110人评价
加勒比海盗,https://movie.douban.com/subject/1298070/,rating45-t,8.8,647342人评价
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,rating45-t,8.8,549397人评价
断背山,https://movie.douban.com/subject/1418834/,rating45-t,8.8,545817人评价
杀人回忆,https://movie.douban.com/subject/1300299/,rating45-t,8.8,480879人评价
狩猎,https://movie.douban.com/subject/6985810/,rating45-t,9.1,261605人评价
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,rating45-t,8.9,468557人评价
幽灵公主,https://movie.douban.com/subject/1297359/,rating45-t,8.9,401437人评价
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,rating45-t,8.8,462763人评价
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,rating45-t,9.0,307831人评价
7号房的礼物,https://movie.douban.com/subject/10777687/,rating45-t,8.9,381054人评价
重庆森林,https://movie.douban.com/subject/1291999/,rating45-t,8.7,583692人评价
第六感,https://movie.douban.com/subject/1297630/,rating45-t,8.9,398921人评价
入殓师,https://movie.douban.com/subject/2149806/,rating45-t,8.8,454629人评价
红辣椒,https://movie.douban.com/subject/1865703/,rating45-t,9.0,286674人评价
小森林 冬春篇,https://movie.douban.com/subject/25814707/,rating45-t,9.0,271963人评价
消失的爱人,https://movie.douban.com/subject/21318488/,rating45-t,8.7,656659人评价
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,rating45-t,8.8,436961人评价
一一,https://movie.douban.com/subject/1292434/,rating45-t,9.0,259419人评价
侧耳倾听,https://movie.douban.com/subject/1297052/,rating45-t,8.9,336126人评价
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,rating45-t,8.6,748074人评价
超脱,https://movie.douban.com/subject/5322596/,rating45-t,8.9,341474人评价
倩女幽魂,https://movie.douban.com/subject/1297447/,rating45-t,8.7,529293人评价
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,rating45-t,8.8,521332人评价
玛丽和马克思,https://movie.douban.com/subject/3072124/,rating45-t,8.9,337504人评价
告白,https://movie.douban.com/subject/4268598/,rating45-t,8.7,544511人评价
无人知晓,https://movie.douban.com/subject/1292337/,rating45-t,9.1,201623人评价
甜蜜蜜,https://movie.douban.com/subject/1305164/,rating45-t,8.8,381261人评价
萤火之森,https://movie.douban.com/subject/5989818/,rating45-t,8.9,364752人评价
大鱼,https://movie.douban.com/subject/1291545/,rating45-t,8.8,429655人评价
阳光姐妹淘,https://movie.douban.com/subject/4917726/,rating45-t,8.8,465147人评价
超能陆战队,https://movie.douban.com/subject/11026735/,rating45-t,8.7,726475人评价
驯龙高手,https://movie.douban.com/subject/2353023/,rating45-t,8.7,559411人评价
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,rating45-t,8.7,478606人评价
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,rating45-t,8.8,396570人评价
